iter	Passed	Remaining
582	15225	10890
583	15262	10871
584	15297	10852
585	15313	10818
586	15351	10800
587	15401	10791
588	15414	10756
589	15429	10722
590	15442	10686
591	15465	10658
592	15501	10639
593	15538	10620
594	15554	10587
595	15569	10553
596	15581	10518
597	15598	10486
598	15621	10457
599	15636	10424
600	15653	10392
601	15675	10363
602	15689	10329
603	15721	10307
604	15754	10286
605	15786	10263
606	15807	10234
607	15833	10208
608	15863	10185
609	15885	10156
610	15908	10128
611	15935	10102
612	15951	10070
613	15985	10049
614	15997	10014
615	16032	9994
616	16058	9968
617	16119	9963
618	16144	9937
619	16161	9905
620	16203	9888
621	16230	9863
622	16244	9830
623	16255	9794
624	16262	9757
625	16270	9720
626	16280	9684
627	16287	9648
628	16294	9611
629	16302	9574
630	16309	9537
631	16327	9507
632	16334	9470
633	16342	9434
634	16350	9398
635	16358	9362
636	16366	9326
637	16375	9291
638	16384	9256
639	16393	9221
640	16401	9185
641	16409	9150
642	16417	9114
643	16426	9080
644	16432	9044
645	16440	9009
646	16447	8973
647	16454	8938
648	16463	8904
649	16471	8869
650	16481	8835
651	16510	8812
652	16528	8782
653	16536	8748
654	16544	8714
655	16552	8679
656	16565	8648
657	16573	8614
658	16581	8579
659	16589	8546
660	16596	8511
661	16603	8477
662	16611	8443
663	16620	8410
664	16628	8376
665	16635	8342
666	16643	8309
667	16657	8278
668	16675	8250
669	16712	8231
670	16738	8207
671	16758	8179
672	16773	8149
673	16791	8121
674	16823	8100
675	16857	8079
676	16912	8069
677	16968	8058
678	16998	8036
679	17017	8008
680	17030	7977
681	17065	7957
682	17089	7931
683	17101	7900
684	17130	7877
685	17170	7859
686	17188	7831
687	17205	7802
688	17295	7806
689	17327	7784
690	17340	7754
691	17354	7724
692	17376	7697
693	17403	7673
694	17417	7643
695	17437	7616
696	17451	7586
697	17473	7560
698	17492	7532
699	17515	7506
700	17558	7489
701	17570	7458
702	17581	7427
703	17595	7398
704	17617	7371
705	17631	7342
706	17652	7315
