iter	Accuracy	Logloss
291	0.930576366	0.199448486
292	0.9306762561	0.1992306087
293	0.930576366	0.1990003187
294	0.930576366	0.1988037074
295	0.9306762561	0.1981975077
296	0.9310758166	0.1979664093
297	0.9312755968	0.1978809158
298	0.9314753771	0.1972970624
299	0.9311757067	0.1969106238
300	0.9315752672	0.1960965868
301	0.9322744981	0.1954201152
302	0.933073619	0.1949095224
303	0.9332733993	0.1946026668
304	0.9328738388	0.1941911652
305	0.9331735091	0.1937694908
306	0.9336729597	0.1936416839
307	0.9336729597	0.1934477268
308	0.9341724103	0.1929077172
309	0.9342723005	0.1924505789
310	0.9345719708	0.1918252365
311	0.9347717511	0.1917575704
312	0.9349715313	0.1913437071
313	0.9354709819	0.190685886
314	0.9354709819	0.1899704607
315	0.9356707622	0.1899249748
316	0.9356707622	0.1896367696
317	0.9359704325	0.1894346684
318	0.936369993	0.1892435862
319	0.936369993	0.1889009609
320	0.9364698831	0.1887713638
321	0.9364698831	0.1883365713
322	0.9369693337	0.1879023799
323	0.9367695535	0.1877044663
324	0.9370692239	0.1875663336
325	0.9373688942	0.1869683225
326	0.9377684547	0.1867083158
327	0.9379682349	0.1864522914
328	0.9385675757	0.1857736327
329	0.9384676855	0.1851702403
330	0.9387673559	0.184552389
331	0.9395664769	0.1838529907
332	0.9395664769	0.1837307021
333	0.939666367	0.1834990085
334	0.9402657077	0.1829033989
335	0.9406652682	0.1823744194
336	0.940465488	0.1820290123
337	0.9405653781	0.181939762
338	0.9408650484	0.1816280127
339	0.9410648287	0.1813844641
340	0.9417640595	0.1804946023
341	0.9415642793	0.180348966
342	0.9422635101	0.1798366195
343	0.94216362	0.1797129414
344	0.9422635101	0.1793069182
345	0.9425631805	0.1785339843
346	0.9428628509	0.178462271
347	0.9428628509	0.1783657872
348	0.9433623015	0.1779750417
349	0.9431625212	0.1776343553
350	0.9434621916	0.1773375746
351	0.9433623015	0.1773037392
352	0.943761862	0.1769420589
353	0.9440615323	0.1762673368
354	0.9442613126	0.1759095287
355	0.9445609829	0.1754335573
356	0.9445609829	0.1753994616
357	0.9443612027	0.1750111611
358	0.944660873	0.1747350706
359	0.944660873	0.1744673817
360	0.9453601039	0.1740670115
361	0.945459994	0.1739174987
362	0.9460593347	0.1735706702
363	0.9466586755	0.1727641645
364	0.9465587853	0.1723164162
365	0.9464588952	0.1716215806
366	0.9469583458	0.1713281476
367	0.9472580162	0.1711596655
368	0.9474577964	0.1707561501
369	0.9474577964	0.1704428369
370	0.9478573569	0.169955775
371	0.9484566976	0.16950407
372	0.9486564779	0.1692662654
373	0.9489561482	0.1687162407
374	0.9489561482	0.1684356599
375	0.9494555988	0.1682861506
376	0.9490560384	0.167935529
377	0.9489561482	0.1676499021
378	0.949555489	0.1672411047
379	0.9493557087	0.1667952639
380	0.9498551593	0.166649261
381	0.9499550494	0.166527827
382	0.9498551593	0.166331008
383	0.9497552692	0.1662312147
384	0.9499550494	0.1659867459
385	0.9504545	0.1654745278
386	0.9504545	0.1651419283
387	0.9506542803	0.1647109082
388	0.9510538408	0.1643299132
389	0.9511537309	0.1640866741
390	0.9514534013	0.1633146065
391	0.952052742	0.1627320299
392	0.9519528519	0.1625384845
393	0.9519528519	0.1623347404
394	0.9522525222	0.1621754489
395	0.9527519728	0.1618760714
396	0.952851863	0.1615308082
397	0.952851863	0.1613071392
398	0.9530516432	0.1609390789
399	0.9532514234	0.1607590091
400	0.9538507642	0.1603631907
401	0.9538507642	0.1603528279
402	0.9540505444	0.1602839728
403	0.954549995	0.1599081303
404	0.9541504345	0.1594871304
405	0.9540505444	0.159374533
406	0.9548496654	0.1589343721
407	0.9549495555	0.1585127965
408	0.9555488962	0.1583466076
409	0.9555488962	0.1580535464
410	0.9555488962	0.157997584
411	0.9551493357	0.1578035456
412	0.9551493357	0.1574946151
413	0.9552492259	0.1572338859
414	0.9555488962	0.1569430913
415	0.9554490061	0.1568363508
416	0.9557486765	0.1564842502
417	0.9558485666	0.1562635846
418	0.9560483468	0.1559631295
419	0.9563480172	0.1558353062
420	0.9563480172	0.1556416385
421	0.9561482369	0.1552125326
422	0.9565477974	0.1549220497
423	0.957047248	0.1547699574
424	0.957047248	0.154335808
425	0.9569473579	0.153544724
426	0.957047248	0.1533955922
